P_sat (Pa) at 298.15K, Delta_H (kJ/mol) at 298.15K, SMILES, carbon_number, ASA_carbon_number, aromatic_ring, non_aromatic_ring,double_bound_nonaromatic_ring, nonaromatic_CCCO, hydroxyl, aldehyde, ketone, carboxylic_acid,ester, ether, alicyclic_ether, aromatic_ether, nitrate, nitro, aromatic_hydroxyl, primary_amine,secondary_amine, tertiary_amine, aromatic_amine, primary_amide, secondary_amide, tertiary_amide,carbonylperoxynitrate, peroxide, hydroperoxide, peroxide_acid, nitrophenol, nitroester,log P_sat(T) [atm], Antoine_Eq for logP_sat(T) [atm], Enthalpy of vaporization (kJ/mol)
0.32, 96.35, CCCC(=O)NC, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -5006.97/T + (11.6) + (0.0*T) + (-0.08*log(T)), -, 95874.42 - (-0.01/T**2) - (1.61/T)
2.6, 75.09, CCNC=O, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -3745.14/T + (5.17) + (0.0*T) + (0.47*log(T)), -, 71712.79 - (-0.01/T**2) - (-9.01/T)
7.01, 70.64, CNC=O, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -3333.9/T + (4.28) + (0.0*T) + (0.33*log(T)), -, 63838.13 - (-0.06/T**2) - (-6.32/T)
1.72, 83.85, CN(C)C(=O)C1CCCCC1, 9, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -5245.81/T + (21.27) + (-0.01*T) + (-1.18*log(T)), -, 100447.86 - (0.11/T**2) - (22.56/T)
5.57, 71.18, CCCC(=O)N(CC)CC, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -4307.96/T + (13.95) + (-0.01*T) + (-0.38*log(T)), -, 82489.7 - (0.1/T**2) - (7.26/T)
108.57, 53.72, CCC(=O)N(C)C, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2927.77/T + (9.72) + (0.0*T) + (-0.52*log(T)), -, 56061.61 - (-0.01/T**2) - (9.99/T)
121.82, 45.47, CCN(CC)C=O, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2634.89/T + (6.63) + (-0.0*T) + (0.03*log(T)), -, 50453.4 - (0.06/T**2) - (-0.66/T)
306.0, 45.15, CC(=O)N(C)C, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2370.08/T + (7.27) + (0.0*T) + (-0.38*log(T)), -, 45382.84 - (-0.02/T**2) - (7.35/T)
862.42, 36.58, CN(C)C=O, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1812.39/T + (4.83) + (0.0*T) + (-0.25*log(T)), -, 34704.08 - (-0.04/T**2) - (4.71/T)
1930.71, 46.28, CCCCCCN, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2857.29/T + (3.0) + (-0.01*T) + (1.35*log(T)), -, 54711.95 - (0.18/T**2) - (-25.83/T)
